name,firstLineAddress,cityName,stateName
Brio Tuscan Grille - Southlake - Southlake Town Square,1431 Plaza Pl,Southlake,TX
Lucky's Pub,801 Saint Emanuel St,Houston,TX
Luke's Locker,9595 Six Pines Dr,Spring,TX
Bosses Pizza - Keller,201 N Main St,Keller,TX
Doubledave's Pizza Works,3505 A Longmire Dr,College Station,TX
Doubledave's Pizzaworks,401 E Whitestone Blvd,Cedar Park,TX
Uncle John's Pizza,3480 S Carrier Pkwy,Grand Prairie,TX
Atheneos Greek Village Cafe,1425 Gross Rd,Mesquite,TX
California Pizza Kitchen,3401 Esperanza Xing,Austin,TX
Little Caesars Pizza,2619 Red Bluff Kroger Jct,Pasadena,TX
Austin's Pizza,7301 N Fm 620,Austin,TX
